SurveyArea,Year_Survey,Biomass_lb
PB,1997,82181
PB,1998,54946
PB,1999,42108
PB,2000,32808
PB,2001,20199
PB,2002,25945
PB,2003,30315
PB,2004,40800
PB,2005,40990
PB,2006,52211
PB,2007,57887
PB,2008,70352
PB,2009,80656
PB,2010,90123
PB,2011,106156
PB,2012,99447
PB,2013,69990
PB,2014,86715
PB,2015,147161
GB,1997,132182.7662
GB,1998,77589.1392
GB,1999,61833.91164
GB,2000,52110.50944
GB,2001,38601.05957
GB,2002,34699.38384
GB,2003,46959.41882
GB,2004,40483.29095
GB,2005,43950.24006
GB,2006,38519.04501
GB,2007,34908.44276
GB,2008,38737.73826
GB,2009,52649.00665
GB,2010,49509.5619
GB,2011,39113.27759
GB,2012,29100.72826
GB,2013,29169.78316
GB,2014,44477.7171
GB,2015,43136.73753
SC,1997,435467.1867
SC,1998,267720.2493
SC,1999,206905.0172
SC,2000,141397.3255
SC,2001,87697.22144
SC,2002,87566.20202
SC,2003,106302.0562
SC,2004,125560.5604
SC,2005,161299.8009
SC,2006,187945.4821
SC,2007,171109.7215
SC,2008,171763.3076
SC,2009,168436.3843
SC,2010,195625.3594
SC,2011,199600.7932
SC,2012,266480.2548
SC,2013,299348.1266
SC,2014,230556.3808
SC,2015,283092.8236
NJ,1997,303847.0924
NJ,1998,361958.7673
NJ,1999,312325.6504
NJ,2000,247483.7512
NJ,2001,180772.2091
NJ,2002,166719.54
NJ,2003,142201.0162
NJ,2004,106395.0728
NJ,2005,81618.61138
NJ,2006,93394.10333
NJ,2007,93876.92593
NJ,2008,126103.9951
NJ,2009,144018.7111
NJ,2010,131631.7768
NJ,2011,143347.3933
NJ,2012,141370.4692
NJ,2013,165006.727
NJ,2014,187999.8118
NJ,2015,140539.4743
LS,1997,42789.77294
LS,1998,43263.80023
LS,1999,44566.87574
LS,2000,25470.26852
LS,2001,29113.62717
LS,2002,26448.49209
LS,2003,22358.96913
LS,2004,25037.50875
LS,2005,36288.30638
LS,2006,29179.39231
LS,2007,25733.87323
LS,2008,31868.56459
LS,2009,38876.75819
LS,2010,36513.96414
LS,2011,40542.62813
LS,2012,37421.01535
LS,2013,38478.45654
LS,2014,49500.94618
LS,2015,48654.23039
EI,1997,302253.3819
EI,1998,313852.1223
EI,1999,249635.679
EI,2000,217560.7873
EI,2001,126630.6832
EI,2002,145231.395
EI,2003,101508.9364
EI,2004,123757.2325
EI,2005,124720.8556
EI,2006,110295.8158
EI,2007,90621.11681
EI,2008,101707.041
EI,2009,136084.3693
EI,2010,152384.8125
EI,2011,141533.4445
EI,2012,118925.156
EI,2013,135894.164
EI,2014,177981.7817
EI,2015,168251.4843
PF,1997,8310.701141
PF,1998,18090.95114
PF,1999,14180.5382
PF,2000,20173.23758
PF,2001,5811.311583
PF,2002,4496.4778
PF,2003,6447.084151
PF,2004,4316.763734
PF,2005,6561.382737
PF,2006,4002.363763
PF,2007,6888.896238
PF,2008,8841.48658
PF,2009,8886.251753
PF,2010,18684.13824
PF,2011,13164.71545
PF,2012,9255.134424
PF,2013,12192.2022
PF,2014,11685.60927
PF,2015,
PS,1997,79234.88367
PS,1998,64810.68132
PS,1999,52197.68748
PS,2000,56983.10131
PS,2001,39930.39993
PS,2002,27567.1806
PS,2003,34692.83124
PS,2004,37554.68087
PS,2005,36139.27497
PS,2006,43049.94487
PS,2007,50648.90402
PS,2008,47310.34812
PS,2009,68835.43982
PS,2010,81606.49159
PS,2011,98195.24706
PS,2012,124186.7603
PS,2013,146877.7971
PS,2014,161981.5057
PS,2015,119721.6485
SP,1997,494167.8766
SP,1998,535472.1528
SP,1999,425066.2932
SP,2000,221745.6135
SP,2001,196271.6648
SP,2002,214870.7477
SP,2003,182415.5365
SP,2004,182584.8947
SP,2005,197607.4591
SP,2006,189102.8434
SP,2007,200680.797
SP,2008,259673.3576
SP,2009,243572.7073
SP,2010,204887.2581
SP,2011,221357.0414
SP,2012,242442.3029
SP,2013,285651.8451
SP,2014,366579.3152
SP,2015,340026.9133
ICY,1997,425662.7812
ICY,1998,497835.6454
ICY,1999,191429.8929
ICY,2000,110647.5317
ICY,2001,141230.4677
ICY,2002,100084.9869
ICY,2003,108275.2302
ICY,2004,251600.6643
ICY,2005,318405.9271
ICY,2006,186409.9217
ICY,2007,93556.65659
ICY,2008,122583.5877
ICY,2009,139120.0531
ICY,2010,75761.68048
ICY,2011,145827.6177
ICY,2012,181399.1005
ICY,2013,164026.5651
ICY,2014,72291.187
ICY,2015,41469.463
GLB,1997,
GLB,1998,
GLB,1999,262768.4093
GLB,2000,168437.0228
GLB,2001,177497.77
GLB,2002,210547.9915
GLB,2003,257317.5381
GLB,2004,253288.654
GLB,2005,294898.5072
GLB,2006,437413.5556
GLB,2007,352884.7162
GLB,2008,314254.4264
GLB,2009,299551.0621
GLB,2010,287047.9894
GLB,2011,273121.325
GLB,2012,221112.6048
GLB,2013,199014.325
GLB,2014,215734.9519
GLB,2015,287412.706
PC,1997,
PC,1998,
PC,1999,
PC,2000,
PC,2001,58343.00907
PC,2002,45029.54414
PC,2003,87100.90105
PC,2004,51130.85961
PC,2005,39670.48053
PC,2006,47234.88063
PC,2007,24129.49145
PC,2008,31415.13363
PC,2009,69872.93263
PC,2010,55601.7529
PC,2011,52411.93356
PC,2012,50820.78771
PC,2013,26407.59158
PC,2014,28211.91458
PC,2015,
TB,1997,
TB,1998,
TB,1999,
TB,2000,
TB,2001,70022.35057
TB,2002,86883.58921
TB,2003,120785.4365
TB,2004,146023.1398
TB,2005,194836.8971
TB,2006,120802.0218
TB,2007,79742.28386
TB,2008,112978.4429
TB,2009,82097.64296
TB,2010,78908.71153
TB,2011,109299.2798
TB,2012,97986.17562
TB,2013,56319.10929
TB,2014,58915.97048
TB,2015,163884.8544
HB,1997,
HB,1998,219556.6479
HB,1999,310873.3216
HB,2000,175334.4044
HB,2001,133949.2618
HB,2002,118791.9601
HB,2003,129631.2256
HB,2004,104014.3181
HB,2005,84650.53151
HB,2006,84705.84104
HB,2007,59968.24385
HB,2008,67434.40785
HB,2009,110795.8253
HB,2010,200783.1737
HB,2011,320852.7487
HB,2012,309867.2739
HB,2013,353814.147
HB,2014,371902.6064
HB,2015,359177.6412
